user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
BeantMrahar,,Twitter for Android,,2021-04-12 03:13:34,False,63,"Today Hashtag 
Retweet 

#DelhiPolice_TorturingFarmers",0,False
rumsomal,"brampton, universe",Twitter for Android,,2021-04-12 03:13:32,False,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/i0cnvsfQut",0,False
rumsomal,"brampton, universe",Twitter for Android,,2021-04-12 03:13:21,False,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/N0K2DSR7TR",0,False
drd_bee,ਮੋਗਾ (ਚੜ੍ਹਦਾ ਪੰਜਾਬ),Twitter for Android,,2021-04-12 03:13:21,False,628,"If we lose this fight, first we will become corporate slaves and then we will eventually be cornered into giving up… https://t.co/cdryCkPjvw",0,False
__Argha__,,Twitter for Android,,2021-04-12 03:13:18,False,42,'Disgraceful' and 'Discourteous' act of Delhi police towards the ones whose hardwork and struggle ensures none slee… https://t.co/ab10Ld1MEy,0,False
Katter_hinduBJP,"Mumbai, India",Twitter for Android,,2021-04-12 03:13:14,False,5415,"'Shameful' and 'Disgusting' act by Delhi Police...!!!!!

#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/LGiWYBW0aa",0,False
pritvirk,ਸਰੀ British Columbia,Twitter for Android,,2021-04-12 03:13:06,False,2521,@har_kaur1 DelhiPolice_TorturingFarmers,0,False
rumsomal,"brampton, universe",Twitter for Android,,2021-04-12 03:13:06,False,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/P2wpduiJxy",0,False
drd_bee,ਮੋਗਾ (ਚੜ੍ਹਦਾ ਪੰਜਾਬ),Twitter for Android,,2021-04-12 03:12:58,False,628,"It’s not about only “Farmers”. Our police is converting into attackers gang.

Let’s stand unite against police inju… https://t.co/9SPzlqOO9N",0,False
ohi_kudi,,Twitter for iPhone,,2021-04-12 03:12:54,False,694,Don’t give your votes to this moron if you want to save the Indian democracy #DelhiPolice_TorturingFarmers https://t.co/uRulAk9jZ5,0,False
Iamjazzie96,Canada 🍁,Twitter for iPhone,,2021-04-12 03:12:53,True,1790,"@rumsomal No doubt....

#DelhiPolice_TorturingFarmers",0,False
RikkSingh,"Calgary,  Canada",Twitter for iPhone,,2021-04-12 03:12:52,True,132,"Save Farmers
#DelhiPolice_TorturingFarmers",0,False
drd_bee,ਮੋਗਾ (ਚੜ੍ਹਦਾ ਪੰਜਾਬ),Twitter for Android,,2021-04-12 03:12:43,False,628,"Inform my land &amp; children we did not give up 

A farmer is a magician who produce money from mud

We ain't giving u… https://t.co/eEnMkh3fce",0,False
akanaha_katter,India,Twitter for Android,,2021-04-12 03:12:39,False,2266,"Farmers sitting on the highway carrying the KMP highway closed, trolleys, mattresses and cots.… https://t.co/YbVQCh2Ixm",0,False
farmers_justice,,Twitter Web App,,2021-04-12 03:12:38,False,1011,"#DelhiPolice_TorturingFarmers

Put an end to Police brutality. https://t.co/8WLfuCo4xc",1,False
Manniepreet,,NoFoodNoFarmer,,2021-04-12 03:12:34,False,192,"Delhi police continue to engage with BJP goons and threaten the farmers protest. 
#DelhiPolice_TorturingFarmers
 Th… https://t.co/gnOatpOxeP",0,False
drd_bee,ਮੋਗਾ (ਚੜ੍ਹਦਾ ਪੰਜਾਬ),Twitter for Android,,2021-04-12 03:12:29,False,628,Don't wake up with the regret of what you couldn't accomplish yesterday. Wake up while thinking about what will be… https://t.co/fdZoDJ4TdC,0,False
Mandeep98152617,,Twitter for iPhone,,2021-04-12 03:12:27,False,6,Farmers protest  #DelhiPolice_TorturingFarmers,0,False
SonnyJudge1,,NoFoodNoFarmer,,2021-04-12 03:12:23,False,561,BJP goons throwing stones at farmers with Delhi police just standing and watching from behind. Shame Delhi police… https://t.co/SDLuZu14Df,0,False
Parmind42619715,"ਮੋਹਾਲੀ,ਪੰਜਾਬ",Twitter for Android,,2021-04-12 03:12:21,False,564,"@advGaganSidhu @Malkitsaggu99 @capt_amarinder Captain is very busy with aroosa
@capt_amarinder 
@DGPPunjabPolice… https://t.co/Igpzn6USw8",0,False
rumsomal,"brampton, universe",Twitter for Android,,2021-04-12 03:12:19,False,1328,"Delhi police is the Black Hand of BJP 
#DelhiPolice_TorturingFarmers
#FarmersProtest https://t.co/7GCYWpXUHH",1,False
